Name,Alternative Name,Description,Origin,Type,Plant,Health Benefits,Color,Caffeine Content (per 8oz cup),Flavor Profile,Brewing Temperature,Brewing Time,Season of Harvest
Purslane Tea,-,"Herbal tea made from purslane leaves, known for nutritional benefits.",Worldwide,Herbal,Portulaca oleracea,"High in omega-3 fatty acids, supports digestion.",Green,0 mg,"Lightly herbal, grassy",190°F (88°C),5-10 minutes,Year-round
Raspberry Leaf Tea,-,"Herbal tea made from dried raspberry leaves, known for supporting women's health.","Europe, North America",Herbal,Rubus idaeus,"May ease menstrual discomfort, rich in vitamins.",Light brown,0 mg,"Herbal, fruity",200°F (93°C),5-10 minutes,Spring
Rhodiola Rosea Tea,-,"Herbal infusion made from rhodiola root, known for reducing stress.",Arctic regions,Herbal,Rhodiola rosea,May enhance energy and reduce fatigue.,Light green,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Roasted Black Soybean Tea,-,"Herbal tea made from roasted black soybeans, known for its nutrition.",East Asia,Herbal,Glycine max,"High in protein and fiber, may support weight management.",Dark brown,0 mg,"Nutty, sweet",200°F (93°C),5-10 minutes,Year-round
Rooibos Tea,-,Caffeine-free herbal tea made from the Aspalathus linearis plant.,South Africa,Herbal,Aspalathus linearis,"High in antioxidants, supports heart health.",Reddish brown,0 mg,"Sweet, nutty",200°F (93°C),5-10 minutes,Year-round
Rose Hip Tea,-,"Herbal tea made from dried rose hips, known for vitamin C content.",Worldwide,Herbal,Rosa canina,"Supports immune health, rich in antioxidants.",Light red,0 mg,"Fruity, tart",200°F (93°C),5-10 minutes,Summer
Rose Tea,-,"Tea made from dried rose petals, known for its aromatic properties.",Worldwide,Herbal,Rosa spp.,"May reduce stress, soothing effects.",Light pink,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Summer
Rosemary Tea,-,"Herbal tea made from fresh or dried rosemary, known for its aromatic flavor.","Europe, Mediterranean",Herbal,Rosmarinus officinalis,"May improve memory, supports digestion.",Light brown,0 mg,"Herbal, piney",200°F (93°C),5-10 minutes,Year-round
Russian Caravan Tea,-,"A blend of black teas known for its smoky flavor, originally favored by travelers in Russia.",Russia,Black,Camellia sinensis,"High in antioxidants, may boost energy.",Dark amber,50-90 mg,"Bold, malty",200°F (93°C),3-5 minutes,Year-round
Russian Tea,-,A flavorful black tea often enjoyed with sugar and lemon.,Russia,Black,Camellia sinensis,"High in antioxidants, may enhance energy.",Dark amber,50-90 mg,"Sweet, citrusy",200°F (93°C),3-5 minutes,Year-round
Sage Tea,-,"Herbal tea made from sage leaves, known for its aromatic quality.","Europe, Asia",Herbal,Salvia officinalis,"May support cognitive function, anti-inflammatory properties.",Light green,0 mg,"Herbal, slightly peppery",200°F (93°C),5-10 minutes,Year-round
Scottish Breakfast Tea,-,"A robust blend of black teas, traditionally enjoyed in Scotland.",Scotland,Black,Camellia sinensis,"High in antioxidants, provides energy boost.",Dark amber,50-90 mg,"Rich, malty",200°F (93°C),3-5 minutes,Year-round
Sea Moss Tea,-,"Herbal tea made from sea moss, known for its nutritional benefits.",Caribbean,Herbal,Chondrus crispus,"High in vitamins and minerals, may support immune health.",Light brown,0 mg,"Seaweed, slightly salty",200°F (93°C),5-10 minutes,Year-round
Sencha Tea,-,A high-quality Japanese green tea known for its refreshing taste.,Japan,Green,Camellia sinensis,"Rich in antioxidants, aids metabolism.",Bright green,30-50 mg,"Grassy, vegetal",175°F (80°C),1-2 minutes,Spring
Shincha Tea,-,"Freshly harvested Japanese green tea, highly prized for flavor and quality.",Japan,Green,Camellia sinensis,"High in nutrients and antioxidants, may enhance well-being.",Bright green,30-50 mg,"Grassy, umami",175°F (80°C),1-2 minutes,Spring
Shou Mei Tea,-,"A white tea made from leaves and buds, known for its delicate flavor.",China,White,Camellia sinensis,"Supports immune health, rich in antioxidants.",Light golden,15-30 mg,"Mild, sweet",160°F (71°C),5-7 minutes,Spring
Silver Needle Tea,Baihao Yinzhen Tea,"A premium white tea made from young buds, known for its sweet flavor.",China,White,Camellia sinensis,"High in antioxidants, may improve skin health.",Light silver,15-30 mg,"Sweet, floral",160°F (71°C),3-5 minutes,Spring
Soursop Tea,-,"Herbal tea made from soursop leaves, known for potential health benefits.",Tropical regions,Herbal,Annona muricata,"May support cancer treatment, rich in antioxidants.",Light green,0 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Year-round
Sweet Tea,-,"Black tea with added sugar, popular in the southern United States.",USA,Black,Camellia sinensis,"High in antioxidants, provides energy.",Dark brown,50-90 mg,"Sweet, refreshing",200°F (93°C),5-10 minutes,Year-round
Taheebo Tea,Lapacho Tea,"Herbal tea made from the inner bark of the lapacho tree, known for health benefits.",South America,Herbal,Tabebuia impetiginosa,"May support immune health, rich in antioxidants.",Light brown,0 mg,"Earthy, woody",200°F (93°C),5-10 minutes,Year-round
Tamaryokucha Tea,-,"A premium Japanese green tea that is steamed and rolled, known for sweet flavor.",Japan,Green,Camellia sinensis,"High in antioxidants, may promote relaxation.",Bright green,30-50 mg,"Sweet, vegetal",175°F (80°C),1-2 minutes,Spring
Tencha Tea,-,"A shade-grown green tea used to make matcha, known for creamy flavor.",Japan,Green,Camellia sinensis,"Rich in antioxidants, boosts energy.",Bright green,30-50 mg,"Vegetal, sweet",175°F (80°C),1-2 minutes,Spring
Thyme Tea,-,"Herbal tea made from dried thyme leaves, known for aromatic and flavorful qualities.",Mediterranean,Herbal,Thymus vulgaris,"May support respiratory health, rich in antioxidants.",Light brown,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Tieguanyin Tea,Iron Goddess of Mercy Tea,A high-quality oolong tea known for floral aroma and complex flavor.,China (Anhui),Oolong,Camellia sinensis,"Rich in antioxidants, may aid in weight management.",Amber,30-50 mg,"Floral, fruity",190°F (88°C),3-5 minutes,Spring
Tiger Milk Tea,-,A sweet milk tea usually served with tapioca pearls.,Singapore,Herbal,Various,"Comforting, high in sugar, provides energy.",Creamy beige,30-60 mg,"Sweet, creamy",200°F (93°C),5-10 minutes,Year-round
Tuareg Tea,-,Traditional North African green tea flavored with mint and often sweetened.,North Africa,Green,Camellia sinensis,"Refreshing, may aid digestion.",Light green,30-50 mg,"Minty, sweet",200°F (93°C),5-7 minutes,"Spring, Summer"
Tulsi Tea,Holy Basil Tea,"Herbal tea made from tulsi leaves, known for adaptogenic properties.",India,Herbal,Ocimum sanctum,"May reduce stress, supports immune health.",Light brown,0 mg,"Balancing effects, herbal",200°F (93°C),5-10 minutes,Year-round
Turmeric Tea,Golden Milk Tea,"Herbal tea made from turmeric, often enjoyed for anti-inflammatory properties.",India,Herbal,Curcuma longa,"Anti-inflammatory, may support joint health.",Golden yellow,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Ube Bubble Tea,-,"A sweet, creamy tea made with purple yam, often served with tapioca pearls.",Philippines,Herbal,Dioscorea alata,"Rich in nutrients, comforting flavor.",Purple,30-60 mg,"Sweet, creamy",200°F (93°C),5-10 minutes,Year-round
Uva Tea,-,"Herbal tea made from dried uva leaves, known for flavor and potential health benefits.",Americas,Herbal,Vitis vinifera,"May support cardiovascular health, rich in antioxidants.",Light green,0 mg,"Fruity, herbal",200°F (93°C),5-10 minutes,Year-round
Uva Ursi Tea,-,"Herbal tea made from uva ursi leaves, commonly used for urinary tract health.",North America,Herbal,Arctostaphylos uva-ursi,"May support urinary health, anti-inflammatory properties.",Light brown,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Valerian Root Tea,-,"Herbal tea made from valerian root, known for calming effects.",Europe,Herbal,Valeriana officinalis,Promotes relaxation and better sleep.,Light brown,0 mg,"Earthy, slightly sweet",200°F (93°C),5-10 minutes,Year-round
Vata Tea,-,Herbal tea designed for balancing the Vata dosha in Ayurveda.,India,Herbal,Various,"Balancing effects, may aid digestion.",Varies,0 mg,"Balancing effects, warm, spicy",200°F (93°C),5-10 minutes,Year-round
Vietnamese Lotus Tea,-,"Herbal tea made from dried lotus flowers, known for delicate flavor.",Vietnam,Herbal,Nelumbo nucifera,"May support relaxation, rich in antioxidants.",Light pink,0 mg,"Floral, sweet",190°F (88°C),5-10 minutes,Summer
White Peony Tea,Bai Mu Dan,"A white tea made from young leaves and buds, known for delicate flavor.",China (Fujian),White,Camellia sinensis,"High in antioxidants, may improve skin health.",Pale gold,15-30 mg,"Light, floral, sweet",160°F (71°C),5-7 minutes,Spring
Willow Bark Tea,-,"Herbal tea made from willow bark, often used for pain-relief properties.","Europe, Asia",Herbal,Salix alba,"May alleviate pain, anti-inflammatory properties.",Light brown,0 mg,"Woody, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Yarrow Tea,-,"Herbal tea made from yarrow leaves, traditionally used for medicinal properties.","Europe, Asia",Herbal,Achillea millefolium,"May support immune function, anti-inflammatory properties.",Light yellow,0 mg,"Earthy, slightly bitter",200°F (93°C),5-10 minutes,Year-round
Yellow Tea,-,"A rare and finely processed tea with mellow flavor, typically less astringent than green tea.",China,Yellow,Camellia sinensis,"High in antioxidants, may enhance digestion.",Light yellow,30-50 mg,"Smooth, sweet",160°F (71°C),2-3 minutes,Spring
Yerba Mate Tea,-,A traditional South American tea known for energizing properties.,South America,Herbal,Ilex paraguariensis,"Boosts energy, rich in antioxidants.",Dark green,30-50 mg,"Earthy, grassy",200°F (93°C),5-10 minutes,Year-round
Zavarka Tea,-,A strong Russian tea made by steeping loose leaves in a small pot.,Russia,Black,Camellia sinensis,"Rich in antioxidants, provides energy.",Dark amber,50-90 mg,"Bold, malty",200°F (93°C),3-5 minutes,Year-round
Zealong Tea,-,Premium New Zealand oolong tea known for rich flavor and smooth finish.,New Zealand,Oolong,Camellia sinensis,"High in antioxidants, promotes relaxation.",Amber,30-50 mg,"Floral, delicate",190°F (88°C),3-5 minutes,Spring
Zhen Mei Tea,-,A delicate type of Chinese black tea known for sweet flavor and subtle aroma.,China,Black,Camellia sinensis,"High in antioxidants, may enhance cardiovascular health.",Dark amber,30-60 mg,"Sweet, smooth",200°F (93°C),3-5 minutes,Spring
